0,1,2,3,4,5,6,7,8,9
O,Mo,Te,H,Ce,O,,,,
Si,Sc,Co,O,,,,,,
Si,La,Mn,O,,,,,,
Si,Ca,O,Th,O,,,,,
Pr,Bi,O,,,,,,,
Lu,In,Pt,O,,,,,,
Ni,F,O,,,,,,,
Dy,Ga,O,,,,,,,
Cd,I,O,,,,,,,
Rb,Li,S,O,,,,,,
Ti,Co,Ge,O,,,,,,
Li,Tb,O,O,,,,,,
Hf,I,N,O,,,,,,
Dy,Re,O,,,,,,,
Fe,S,Tl,O,,,,,,
Ni,Fe,Se,O,,,,,,
Pr,Fe,I,O,,,,,,
Y,Si,Rh,O,,,,,,
Ca,V,O,O,,,,,,
Ca,O,Rh,O,,,,,,
Er,Co,I,O,,,,,,
Nd,As,Pd,O,,,,,,
Na,Al,H,O,,,,,,
Ce,Cd,Cu,O,,,,,,
Sm,In,Ni,O,,,,,,
Th,Mn,O,,,,,,,
Ba,Bi,Mo,W,O,O,,,,
Ba,N,O,,,,,,,
N,Ca,H,B,O,,,,,
Te,Mo,O,,,,,,,
Nb,Se,O,,,,,,,
Tm,Rh,O,,,,,,,
Na,H,S,O,O,,,,,
Mo,K,O,Hf,O,,,,,
Ba,W,N,O,,,,,,
Mn,V,As,O,,,,,,
Pr,Al,O,,,,,,,
Cd,Ir,O,,,,,,,
Na,Ga,B,P,H,O,O,,,
Pr,Ti,Al,O,,,,,,
Co,Sb,O,,,,,,,
Ba,N,Cl,O,,,,,,
Na,Fe,Cu,F,O,,,,,
Sc,Al,Ni,O,,,,,,
Na,Te,O,O,,,,,,
Al,Hg,O,F,O,,,,,
Ce,Zn,Sn,O,,,,,,
Nb,Sb,O,O,,,,,,
Na,P,S,O,,,,,,
Hg,Cl,Se,O,,,,,,
Th,B,C,O,,,,,,
U,Ca,P,O,O,,,,,
Pb,S,Sb,O,,,,,,
S,Cu,Na,H,O,O,,,,
Y,In,Cu,O,,,,,,
Cd,I,O,,,,,,,
Ba,B,O,O,,,,,,
Li,Pr,Sn,O,,,,,,
Cd,I,O,,,,,,,
Nb,Te,I,O,,,,,,
Ca,Si,O,,,,,,,
Zr,P,O,Ga,O,,,,,
Nd,As,Ru,O,O,,,,,
Li,Nb,O,O,,,,,,
Ce,C,I,O,,,,,,
Rb,Pd,F,O,,,,,,
F,Mo,Te,O,C,Sb,O,,,
Hg,Sb,Br,O,,,,,,
Rb,Ti,Cl,O,,,,,,
Mn,Se,Ga,O,,,,,,
Yb,Hg,As,Br,O,,,,,
S,Fe,H,O,C,O,,,,
O,I,In,O,,,,,,
Zr,Sb,Pt,O,,,,,,
Cs,Ga,As,O,,,,,,
Na,Li,Ti,F,O,,,,,
La,B,C,Br,O,,,,,
Pu,Te,O,,,,,,,
Sr,Mn,O,Cl,O,,,,,
Tb,Co,B,O,,,,,,
Ge,P,Ba,O,,,,,,
Na,U,S,O,,,,,,
Ti,Fe,Bi,O,,,,,,
Tm,Ga,Ir,O,,,,,,
Sm,Si,Na,Ba,O,O,,,,
Na,Se,O,O,,,,,,
U,Si,O,,,,,,,
Y,Se,O,,,,,,,
Cs,Ga,O,,,,,,,
Cu,W,O,O,,,,,,
U,O,,,,,,,,
Ir,Ge,Sm,O,,,,,,
Be,Mg,N,O,,,,,,
Li,H,S,N,O,O,,,,
Si,Pd,Sr,O,,,,,,
Ce,Cu,Ag,O,,,,,,
Nd,Au,O,,,,,,,
Mo,Cl,O,,,,,,,
Fe,Pt,O,,,,,,,
Ho,B,Ir,O,,,,,,
Na,O,B,Ba,O,,,,,
Y,Si,O,O,,,,,,
Zn,S,O,,,,,,,
Mo,As,O,,,,,,,
Ce,S,Br,N,O,,,,,
N,Co,I,O,,,,,,
Th,O,S,O,,,,,,
Ni,As,O,O,,,,,,
Cr,O,Pb,Cl,O,,,,,
Au,Br,F,O,,,,,,
Pu,S,O,,,,,,,
Ti,Mn,O,O,,,,,,
Mg,Bi,P,O,O,,,,,
Y,Si,O,,,,,,,
N,Cu,Ca,O,K,O,,,,
Ba,Hg,O,,,,,,,
Ag,Sb,O,,,,,,,
Sr,Mg,Fe,H,O,,,,,
N,Ni,C,K,O,,,,,
Sm,Si,Al,O,,,,,,
Tl,Pd,O,O,,,,,,
Ta,O,O,,,,,,,
N,H,P,O,C,Zn,O,,,
Na,V,S,O,,,,,,
Ce,Mo,O,O,,,,,,
Ag,Ge,O,O,,,,,,
N,Cd,C,H,Br,O,,,,
Lu,Se,O,,,,,,,
Cu,S,O,O,,,,,,
Ba,Be,Si,O,O,,,,,
K,Fe,H,S,O,O,,,,
Ti,P,O,Sr,O,,,,,
Pr,H,S,O,O,,,,,
Mo,O,Br,O,,,,,,
Ba,Pr,Ir,O,O,,,,,
